Date,Temperature,Humidity,WindSpeed,Rainfall
2025-01-01,26.2,64,13.8,0.0
2025-01-02,22.1,71,14.8,17.3
2025-01-03,26.8,72,17.4,0.0
2025-01-04,29.0,68,17.3,0.0
2025-01-05,24.7,73,5.1,0.0
2025-01-06,24.8,77,7.3,0.0
2025-01-07,29.4,88,14.6,0.0
2025-01-08,27.5,74,14.6,0.0
2025-01-09,24.5,75,14.6,0.0
2025-01-10,27.1,72,31.3,0.0
2025-01-11,24.6,57,14.9,0.0
2025-01-12,21.8,71,17.7,19.8
2025-01-13,26.6,72,16.8,0.0
2025-01-14,21.3,91,15.3,0.0
2025-01-15,21.8,69,10.4,0.0
2025-01-16,22.6,73,15.8,14.6
2025-01-17,23.7,70,8.1,0.0
2025-01-18,27.1,61,10.8,0.0
2025-01-19,24.2,79,9.6,0.0
2025-01-20,23.0,75,12.4,0.0
2025-01-21,30.3,75,23.6,0.0
2025-01-22,26.1,61,2.7,0.0
2025-01-23,26.9,80,15.4,0.0
2025-01-24,23.3,57,3.9,0.0
2025-01-25,25.6,72,9.6,0.0
2025-01-26,27.3,85,17.4,0.0
2025-01-27,24.2,59,12.3,0.0
2025-01-28,27.6,62,6.6,3.6
2025-01-29,25.7,67,8.4,0.0
2025-01-30,26.6,62,15.4,0.0
2025-01-31,25.9,54,8.3,0.0
2025-02-01,32.1,66,13.1,0.0
2025-02-02,27.1,57,12.2,3.1
2025-02-03,25.0,69,8.7,0.0
2025-02-04,29.4,57,22.7,2.5
2025-02-05,23.0,77,15.2,11.4
2025-02-06,25.0,58,2.0,22.7
2025-02-07,23.1,61,12.9,0.0
2025-02-08,24.7,70,8.7,0.0
2025-02-09,28.6,53,16.3,0.0
2025-02-10,30.0,65,8.0,0.0
2025-02-11,28.7,73,11.4,0.0
2025-02-12,28.1,50,14.5,0.0
2025-02-13,26.3,64,16.3,9.2
2025-02-14,24.8,64,6.0,0.0
2025-02-15,26.8,68,10.3,0.0
2025-02-16,27.0,51,9.6,3.4
2025-02-17,31.4,50,8.7,0.0
2025-02-18,29.6,65,20.8,1.0
2025-02-19,24.5,63,14.0,0.0
2025-02-20,29.8,62,5.7,0.0
2025-02-21,28.1,62,16.6,0.0
2025-02-22,27.5,54,22.6,0.0
2025-02-23,30.8,61,17.2,0.0
2025-02-24,31.9,61,4.4,0.0
2025-02-25,31.7,53,9.6,0.0
2025-02-26,23.7,73,18.3,24.3
2025-02-27,26.9,62,8.5,12.7
2025-02-28,30.5,48,14.2,0.0
2025-03-01,31.1,63,15.9,6.9
2025-03-02,28.6,49,7.4,0.0
2025-03-03,29.4,63,11.7,0.0
2025-03-04,27.2,66,2.0,0.0
2025-03-05,27.0,50,6.9,0.0
2025-03-06,32.2,64,10.7,0.0
2025-03-07,33.6,59,5.8,0.0
2025-03-08,30.1,62,20.2,0.0
2025-03-09,31.1,70,4.8,11.6
2025-03-10,31.3,53,9.8,0.0
2025-03-11,28.9,48,12.7,0.0
2025-03-12,31.5,47,19.2,0.0
2025-03-13,33.9,47,4.8,4.2
2025-03-14,30.7,53,17.8,0.0
2025-03-15,31.6,56,12.1,21.3
2025-03-16,24.4,55,7.1,0.0
2025-03-17,33.1,59,14.3,0.0
2025-03-18,31.3,52,13.0,0.0
2025-03-19,30.4,64,9.0,0.0
2025-03-20,31.5,49,12.3,0.0
2025-03-21,23.0,73,10.1,22.2
2025-03-22,30.9,56,12.6,0.0
2025-03-23,32.4,44,15.3,0.0
2025-03-24,35.3,42,19.9,0.0
2025-03-25,30.3,54,5.8,0.0
2025-03-26,29.7,48,22.7,0.0
2025-03-27,30.4,55,2.2,1.3
2025-03-28,34.2,53,11.2,0.0
2025-03-29,32.8,48,14.9,0.0
2025-03-30,29.9,42,13.4,5.7
2025-03-31,33.4,36,8.9,0.0
2025-04-01,32.4,44,11.0,0.0
2025-04-02,34.7,55,9.5,0.0
2025-04-03,30.6,49,9.1,0.0
2025-04-04,31.6,37,16.2,0.0
2025-04-05,31.5,48,13.8,0.0
2025-04-06,27.1,50,8.5,12.4
2025-04-07,33.4,39,16.5,0.0
2025-04-08,33.4,47,13.5,0.0
2025-04-09,32.9,46,16.1,0.0
2025-04-10,32.3,36,15.1,0.0
